Time(s),Thrust(N)
0,0
0.03,2930.23055
0.06,2946.55281
0.09,2962.75934
0.12,2978.84899
0.15,2994.82061
0.18,3010.6731
0.21,3026.40532
0.24,3042.01619
0.27,3057.5046
0.3,3072.86948
0.33,3088.10975
0.36,3103.22435
0.39,3118.21222
0.42,3133.07234
0.45,3147.80367
0.48,3162.40519
0.51,3176.87589
0.54,3191.21478
0.57,3205.42087
0.6,3219.49318
0.63,3233.43075
0.66,3247.23263
0.69,3260.89786
0.72,3274.42552
0.75,3287.81469
0.78,3301.06445
0.81,3314.17391
0.84,3327.14217
0.87,3339.96836
0.9,3352.6516
0.93,3365.19104
0.96,3377.58584
0.99,3389.83515
1.02,3401.93816
1.05,3413.89405
1.08,3425.70201
1.11,3437.36127
1.14,3448.87102
1.17,3460.23051
1.2,3471.43898
1.23,3482.49568
1.26,3493.39986
1.29,3504.15081
1.32,3514.74781
1.35,3525.19016
1.38,3535.47716
1.41,3545.60812
1.44,3555.58239
1.47,3565.3993
1.5,3575.05819
1.53,3584.55844
1.56,3593.89941
1.59,3603.0805
1.62,3612.10109
1.65,3620.96058
1.68,3629.65841
1.71,3638.19399
1.74,3646.56677
1.77,3654.7762
1.8,3662.82174
1.83,3670.70285
1.86,3678.41904
1.89,3685.96978
1.92,3693.35459
1.95,3700.57299
1.98,3707.6245
2.01,3714.50866
2.04,3721.22503
2.07,3727.77317
2.1,3734.15264
2.13,3740.36304
2.16,3746.40396
2.19,3752.27501
2.22,3757.9758
2.25,3763.50597
2.28,3768.86516
2.31,3774.05301
2.34,3779.06919
2.37,3783.91337
2.4,3788.58525
2.43,3793.08451
2.46,3797.41087
2.49,3801.56404
2.52,3805.54376
2.55,3809.34976
2.58,3812.9818
2.61,3816.43965
2.64,3819.72307
2.67,3822.83186
2.7,3825.76582
2.73,3828.52474
2.76,3831.10846
2.79,3833.51681
2.82,3835.74963
2.85,3837.80677
2.88,3839.6881
2.91,3841.39349
2.94,3842.92284
2.97,3844.27604
3.0,3845.45301
3.03,3846.45367
3.06,3847.27794
3.09,0.0
